AccountName,PageRank
FplAuto,0.000750846998346
thirtyfeet,0.00073883748247
numberstorm,0.000738619987644
UtterlyTC,0.000737008277281
EricLaurie,0.000734271505755
MartinRafelt,0.000729878505917
Advt_played,0.000728990139825
timpayton,0.000728244604523
ed_aarons,0.000727580908782
blakewooster,0.000727567981082
joe_mulberry,0.000723969379059
colintrainor,0.000722723358836
OsmanZtheGooner,0.000721318126362
FlaFu_tbol,0.000718527146584
TooGoodFPL,0.00071851680192
CoachesVoice,0.000717325706149
FPL_vs,0.000713726076711
nickgoff79,0.000711225028976
markgoldbridge,0.000709521051285
Priya8Ramesh,0.000709396719325
JamesMilner,0.000708684094223
FantasyYIRMA,0.000707925065545
patricklucey,0.000694499957742
903124S,0.000693313505934
Kieran_B91,0.000692038143206
msceducation,0.000690178091675
PenaltyKickStat,0.000689766853281
mike_jeski,0.000689601074434
TheAFCnewsroom,0.000688953650975
JEgersdorff,0.000683217663673
BenSuttonJackal,0.000682542962554
SoccerSaber,0.00068206965905
Tw3rcazette,0.000680509420274
LutonAnalytics,0.000680370552596
AnEnglishGoat,0.000679286106887
Durchiga,0.000675054748548
pwawrzynow,0.000674163086198
ParthAthale,0.000673207547633
FPLPriceChanges,0.000668938657398
reverse_ball,0.00066862631426
JonnyWhitmore14,0.00066693603343
clubelo,0.000661637580631
CatenaccioIG,0.000657566210164
OliPriceBates,0.000649692285877
DaveLaidig,0.00064885620591
trevillion_,0.000643128129538
Macho_Grande1,0.000642508525294
danzn1,0.000642104958892
pkwestel,0.000641707574081
MichaelKeshani,0.000636222062929
barCOLEYna,0.000635849097148
FPLBrain,0.000635654485355
MarkOHaire,0.000635521728467
olivermpw_,0.00063467213499
TheFalseNein,0.000633382496722
FootballJOE,0.000631743071451
unravelsports,0.000627719770749
biscuitchaser,0.000625426649366
TacticalRole,0.000624762152747
TheSquidBoyLike,0.000624246211897
PurelyFootball,0.000623992576991
Sport_Witness,0.000622602950931
FootyScribblers,0.000622369778837
EBL2017,0.000619680525699
Tussendelinies,0.000616384978947
FanalyticsPod,0.000616344419739
Mladen_Sormaz,0.000614765490993
wiscostretford,0.00061260530544
FF_Vader,0.000611838825387
